Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),TZ_001:Zone People Occupant Count [](TimeStep:ON),TZ_001:Zone People Sensible Heating Rate [W](TimeStep),TZ_001:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),DH:District Heating Hot Water Energy [KJ](TimeStep:ON),DH:District Heating Hot Water Rate [KW](TimeStep:ON),DH:District Heating Inlet Temperature [C](TimeStep:ON),,class,,,,
 01/02  20:30:00,7.925,0,0,1,77.06769054,0,154827.3109,172.0303455,64,,64,,,,
 01/02  20:45:00,7.9875,0,0,1,77.01032611,0,157414.2003,174.904667,64,,64,,,,
 01/02  21:00:00,8.05,0,0,1,76.97479165,0,156607.1065,174.0078961,64,,64,,,,
 01/02  21:15:00,8.1125,0,0,1,76.96381482,0,158335.3752,175.9281947,64,,64,,,,
 01/02  21:30:00,8.175,0,0,1,76.9697805,0,158693.2761,176.3258624,64,,64,,,,
 01/02  21:45:00,8.2375,0,0,1,76.98442611,0,160243.5591,178.048399,64,,64,,,,
 01/02  22:00:00,8.3,0,0,1,77.00600804,0,161230.594,179.1451044,64,,64,,,,
 01/02  22:15:00,8.3625,0,0,1,77.03071663,0,161200.2937,179.1114374,64,,64,,,,
 01/02  22:30:00,8.425,0,0,1,77.05873909,0,161265.3144,179.1836827,64,,64,,,,
 01/02  22:45:00,8.4875,0,0,1,77.08662926,0,163689.1557,181.8768397,64,,64,,,,
 01/02  23:00:00,8.55,0,0,1,77.11579243,0,162949.1164,181.0545738,64,,64,,,,
 01/02  23:15:00,8.5975,0,0,1,77.14621585,0,163702.9305,181.892145,64,,64,,,,
 01/02  23:30:00,8.645,0,0,1,77.16936271,0,164291.5334,182.5461482,64,,64,,,,
 01/02  23:45:00,8.6925,0,0,1,76.83894923,0,162237.7991,180.2642213,64,,64,,,,
 01/02  24:00:00,8.74,0,0,1,77.14973837,0,163274.8571,181.4165078,64,,64,,,,
 01/03  00:15:00,8.79,0,0,0.5,38.51849688,0,168288.9268,186.9876964,63,,63,,,,
 01/03  00:30:00,8.84,0,0,0.5,38.48509086,0,170074.5999,188.9717776,63,,63,,,,
 01/03  00:45:00,8.89,0,0,0.5,38.50373629,0,172278.2657,191.4202953,63,,63,,,,
 01/03  01:00:00,8.94,0,0,0.5,38.54205421,0,168737.5906,187.4862118,63,,63,,,,
 01/03  01:15:00,8.9875,0,0,0.5,38.57662148,0,170251.1905,189.1679894,63,,63,,,,
 01/03  01:30:00,9.035,0,0,0.5,38.42605779,0,168899.1458,187.6657176,63,,63,,,,
 01/03  01:45:00,9.0825,0,0,0.5,38.46984015,0,168636.774,187.3741933,63,,63,,,,
 01/03  02:00:00,9.13,0,0,0.5,38.53811851,0,167447.3874,186.0526526,63,,63,,,,
 01/03  02:15:00,9.03,0,0,1,77.15470492,0,162754.0877,180.8378752,64,,64,,,,
 01/03  02:30:00,8.93,0,0,1,77.15559631,0,158866.1277,176.5179197,64,,64,,,,
 01/03  02:45:00,8.83,0,0,1,77.12773829,0,160573.9741,178.4155267,64,,64,,,,
 01/03  03:00:00,8.73,0,0,1,77.10426363,0,160956.8969,178.8409965,64,,64,,,,
 01/03  03:15:00,8.6325,0,0,1,77.09931108,0,160844.2924,178.7158805,64,,64,,,,
 01/03  03:30:00,8.535,0,0,1,77.10959109,0,162152.5733,180.1695259,64,,64,,,,
 01/03  03:45:00,8.4375,0,0,1,77.12795015,0,161744.8255,179.7164728,64,,64,,,,
 01/03  04:00:00,8.34,0,0,1,77.15407155,0,162975.8228,181.0842476,64,,64,,,,
 01/03  04:15:00,8.24,0,0,1,76.83794416,0,164808.3151,183.1203501,64,,64,,,,
 01/03  04:30:00,8.14,0,0,1,76.9325978,0,163393.226,181.5480289,64,,64,,,,
 01/03  04:45:00,8.04,0,0,1,77.09733027,0,165454.2689,183.8380766,64,,64,,,,
 01/03  05:00:00,7.94,0,0,1,76.87032199,0,165340.6405,183.7118227,64,,64,,,,
 01/03  05:15:00,7.88,0,0,1,77.00308871,0,165353.364,183.72596,64,,64,,,,
 01/03  05:30:00,7.82,0,0,1,76.83751215,0,166781.0857,185.3123174,64,,64,,,,
 01/03  05:45:00,7.76,0,0,1,77.03098316,0,167611.9126,186.2354584,63,,63,,,,
 01/03  06:00:00,7.7,0,0,1,76.8990117,0,168184.8779,186.8720865,63,,63,,,,
 01/03  06:15:00,7.64,0,0,1,76.89944338,0,168872.5745,187.6361939,63,,63,,,,
 01/03  06:30:00,7.58,0,0,1,77.0351615,0,170507.6604,189.452956,63,,63,,,,
 01/03  06:45:00,7.52,0,0,1,76.87006585,0,172814.1242,192.0156935,63,,63,,,,
 01/03  07:00:00,7.46,0,0,1,76.89024565,0,171601.8744,190.6687494,63,,63,,,,
 01/03  07:15:00,7.4,0,0,1,77.07093937,0,172771.5802,191.9684225,63,,63,,,,
